0,1,2,3
2.1789293,0.81641495,-1.1809913,0.17690192
1.8631811,0.6525807,-1.7200742,0.6342504
1.9550933,0.87315935,-1.817468,0.52579546
1.9280449,0.68416226,-1.3025051,0.3372589
1.8498408,0.64678204,-1.3768188,0.37868583
1.8710961,0.73477364,-1.4887815,0.42167413
2.0458813,0.9271324,-1.2079464,0.044873063
1.9988238,0.8869485,-1.1677659,0.06309984
2.2889555,0.9815765,0.053526446,-1.0618229
2.3155177,0.9682191,0.3867944,-1.502294
2.3688943,1.1263932,0.78712124,-1.921532
1.5711688,0.58857703,-1.6168635,0.23772933
1.3148907,0.5113992,-2.2821233,0.42422426
2.1154137,0.9944263,0.24138357,-1.5805225
2.412953,1.4542692,2.0641072,-3.4262085
1.5490829,0.78426856,-1.7137237,-0.100522496
1.2427678,0.5513477,-1.990445,0.32259187
1.3257998,0.6295008,-1.8147246,0.10386891
1.0784079,0.47769907,-2.587794,0.35198453
1.7317952,0.8624523,-0.3317921,-1.2288854
1.1858574,0.58380604,-1.6935033,-0.021233829
1.2065479,0.72157466,-1.7475617,-0.15681918
1.5603049,0.88119197,-0.39950132,-1.2342961
1.775833,1.097227,0.5851811,-2.3172226
1.3905706,0.82661426,-0.9457278,-0.85651666
1.8198533,1.2536905,1.1501243,-2.9476025
1.2214799,0.75446224,-1.1832262,-0.66966784
1.7441909,1.2243639,0.83426315,-2.6891217
0.9767424,0.734111,-1.7813468,-0.3701686
1.4938337,1.1389431,-0.034460127,-1.9382974
0.85318124,0.64429927,-2.1025019,-0.16899036
1.6097192,1.3333628,0.6547458,-2.671054
0.88457626,0.81299114,-2.1053743,-0.3261692
1.3666592,1.2354385,-0.37402576,-1.7281247
1.1813365,1.2199961,-0.9286536,-1.1615179
0.86228573,1.0109731,-2.175371,-0.4021489
1.117961,1.2359918,-1.0111539,-1.2165177
0.8723722,1.1347156,-1.520089,-0.70746714
0.6960259,0.99158233,-2.3976543,-0.29772905
0.61767286,1.0581949,-2.5812995,-0.2457445
0.67592174,1.0588561,-2.1160035,-0.3868903
0.61226416,1.0989789,-2.4741735,-0.32865992
0.610672,1.1044546,-2.370399,-0.36827844
0.5902269,1.0949758,-2.3190722,-0.4162221
0.6549527,1.2492104,-2.1800318,-0.7009265
0.62824076,1.2862613,-2.2908447,-0.7138124
1.3251716,1.919942,0.4944864,-3.0300345
0.53896856,1.2770538,-2.1735635,-0.70469177
0.43029213,1.2358546,-2.678505,-0.56821585
0.48551738,1.2812678,-1.993928,-0.8880506
2.2258034,3.3050222,5.4481792,-7.8377066
0.3107094,1.2442956,-2.801748,-0.6078898
0.52653325,1.5328348,-1.9086424,-1.1394092
0.64610666,1.7282454,-1.1755716,-1.6433498
0.8657161,1.9092151,-0.48109335,-2.360919
0.5121356,1.5984062,-1.652758,-1.3875655
0.42335895,1.5550826,-1.8550638,-1.2765386
0.48818803,1.6280334,-1.6342605,-1.4374155
0.74502534,1.9071181,-0.57036525,-2.3393824
0.14929712,1.3615452,-2.8389695,-0.7954233
0.1694013,1.4185205,-2.7149498,-0.8838238
0.51037997,1.8440346,-1.369069,-1.7632934
0.89154506,2.1467264,0.47104138,-3.418704
0.849453,2.1198268,0.1600234,-3.2281845
0.37276694,1.6967024,-1.5273023,-1.6884089
0.1646319,1.5124092,-2.2110724,-1.2473483
0.58244663,2.0655942,-0.5549121,-2.620262
0.21389647,1.7274767,-2.123324,-1.4702353
0.3730291,1.9099126,-1.164503,-1.9824331
-0.24103343,1.4634013,-3.6108394,-0.9688266
0.80323285,2.3779094,0.67407554,-3.9231195
0.08399881,1.7026559,-2.2381182,-1.5401788
0.033369653,1.6148643,-2.263164,-1.4014075
0.250874,1.9471947,-1.2207555,-2.200657
0.28589123,2.0392447,-1.0404261,-2.3362827
-0.029219273,1.7232618,-2.4720764,-1.4236608
-0.008928368,1.8332878,-2.4716945,-1.5957127
0.07214454,1.8497446,-1.9951254,-1.7788968
1.7320484,0.26492587,-2.0918043,0.6243847
1.7957733,0.42529646,-1.2079662,0.23634684
1.7883743,0.44574293,-1.8979352,0.5131944
1.7650079,0.4486566,-1.7056909,0.38918412
1.8232393,0.4682471,-1.2583926,0.18774958
1.8274399,0.43368247,-1.1619978,0.075231746
1.6609437,0.45532176,-1.7967812,0.39272118
2.386241,0.8865717,0.7476339,-1.8815174
1.6679935,0.46122232,-1.4974215,0.22468175
1.9156867,0.56966686,-0.5079029,-0.6148329
1.5510552,0.4884548,-1.6603321,0.22170143
1.7135965,0.6117619,-1.178836,-0.0890178
2.1820478,0.9969011,0.58851993,-1.8517822
2.2726731,1.1188489,0.9160966,-2.2330377
2.1061685,0.9836251,0.40039307,-1.6993451
1.4837917,0.58849055,-1.4999171,-0.015256228
1.8945905,0.8291583,-0.30626097,-1.0368477
1.1845174,0.5097438,-2.3673587,0.2888176
1.7182078,0.76866823,-0.70844364,-0.7252518
